Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NYK,32,34.3,24.9,8.9,16.3,54.8,2.2,5,44,4.9,5.9,83.6,2.9,10.8,13.7,3.3,2.6,0.8,0.9,3.6,49.1,28,0,7.5,,,,
2023-24,MIN,62,32.7,21.8,7.7,15.3,50.4,2.2,5.3,41.6,4.1,4.7,87.3,1.5,6.8,8.3,3,2.9,0.7,0.7,3.3,37.5,22,0,5.2,,,,
2022-23,MIN,29,33,20.8,7.3,14.8,49.5,2.1,5.7,36.6,4.1,4.7,87.4,1.7,6.5,8.1,4.8,3,0.7,0.6,3.8,38.6,9,0,1.3,,,,
2021-22,MIN,74,33.5,24.6,8.7,16.4,52.9,2,4.9,41,5.2,6.3,82.2,2.6,7.2,9.8,3.6,3.1,1,1.1,3.6,45,40,1,3.7,,,,
2020-21,MIN,50,33.8,24.8,8.5,17.5,48.6,2.4,6.3,38.7,5.3,6.2,85.9,2.7,7.9,10.6,4.5,3.2,0.8,1.1,3.7,46.8,33,0,0.2,,,,
2019-20,MIN,35,33.9,26.5,9,17.8,50.8,3.3,7.9,41.2,5.1,6.5,79.6,2.7,8.1,10.8,4.4,3.1,0.9,1.2,3.3,49.3,24,0,-0.4,,,,
2018-19,MIN,77,33,24.4,8.8,17.1,51.8,1.8,4.6,40,4.9,5.8,83.6,3.4,9,12.4,3.4,3.1,0.9,1.6,3.8,48.7,54,0,0.7,,,,
2017-18,MIN,82,35.6,21.3,7.8,14.3,54.5,1.5,3.5,42.1,4.2,4.9,85.8,2.9,9.4,12.3,2.4,1.9,0.8,1.4,3.5,44.3,68,0,4.5,,,,
2016-17,MIN,82,37,25.1,9.8,18,54.2,1.2,3.4,36.7,4.3,5.2,83.2,3.6,8.7,12.3,2.7,2.6,0.7,1.3,2.9,47.1,62,1,-0.3,,,,
2015-16,MIN,82,32,18.3,7.6,14.1,54.2,0.4,1.1,34.1,2.7,3.4,81.1,2.8,7.7,10.5,2,2.2,0.7,1.7,3,38.8,52,0,-1.6,,,,
