Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NOP,23,33.7,22.8,8.7,18.9,46.1,3.2,8.5,37.8,2.2,3.1,70.8,0.7,3,3.8,4,1.8,1,0.5,2.3,35.9,0,0,-5.9,,,,
2023-24,NOP,66,32.7,20,7.3,16,45.9,3.6,8.4,42.9,1.7,2.1,82.7,0.6,3.7,4.3,4.6,1.7,0.9,0.6,1.9,35.2,2,0,3,,,,
2022-23,NOP,75,35.3,20.9,7.8,17.9,43.7,2.8,7.2,38.9,2.4,3.2,76.9,0.7,3.6,4.4,5.7,2.4,0.9,0.5,2,36.6,6,0,0.8,,,,
2021-22,TOT,62,34.6,22.1,8.6,18.8,46,2.9,7.6,38.8,1.9,2.7,68.2,0.9,3.5,4.3,5.1,2,1.1,0.4,2,37.3,3,0,-1.1,,,,
2021-22,NOP,26,33.8,24.3,9.5,19.2,49.3,2.7,6.9,39.4,2.6,3.9,66.7,0.7,3.7,4.5,5.8,2.2,1.3,0,1.7,40.2,2,0,1.7,,,,
2021-22,POR,36,35.2,20.5,8.1,18.5,43.6,3.1,8,38.4,1.3,1.9,70.6,0.9,3.3,4.3,4.5,1.9,1,0.6,2.1,35.2,1,0,-3.1,,,,
2020-21,POR,47,34,23.1,8.6,18.8,45.8,3.6,8.9,40.2,2.3,2.8,81.2,0.6,3.3,3.9,4.7,1.4,0.9,0.4,1.9,37.7,2,0,4.4,,,,
2019-20,POR,70,36.5,22.2,8.7,19.4,45.1,2.8,7.3,37.9,2,2.6,75.7,0.7,3.6,4.2,4.4,1.8,0.8,0.6,2.6,36.3,4,0,0.2,,,,
2018-19,POR,70,33.9,21,8.2,17.8,45.9,2.4,6.4,37.5,2.3,2.7,82.8,0.9,3.1,4,3,1.5,0.8,0.4,2.5,32.3,1,1,5,,,,
2017-18,POR,81,36.1,21.4,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,0.7,3.3,4,3.4,1.9,1,0.4,2.1,33.5,1,0,1.5,,,,
2016-17,POR,80,34.9,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,34.8,1,0,0.8,,,,
2015-16,POR,80,34.7,20.8,8,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,33.2,2,0,2,,,,
2014-15,POR,62,15.7,6.8,2.6,5.9,43.6,0.9,2.2,39.6,0.8,1.2,69.9,0.2,1.2,1.5,1,0.8,0.7,0.1,1.3,11.8,0,0,1.9,,,,
2013-14,POR,38,12.5,5.3,1.9,4.7,41.6,0.8,2.1,37.5,0.6,0.9,67.6,0.2,1.1,1.3,0.7,0.9,0.4,0.1,1.4,8.2,0,0,-0.5,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
