Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,CHI,35,32.3,20.5,8.3,15,55.3,2.1,4.9,42.4,1.8,2.1,83.8,2.3,7.9,10.2,3.3,1.6,0.8,0.6,2.4,40.3,23,0,-2.5,,,,
2023-24,CHI,76,34.3,18,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,2.8,7.8,10.5,3.3,1.6,0.7,0.8,2.5,38.5,45,0,-2.4,,,,
2022-23,CHI,82,33.5,17.6,7.3,14,52,1.5,4.2,34.9,1.6,1.9,83.5,1.9,9.1,11,3.2,1.7,0.7,0.7,2.2,38.3,51,1,-0.2,,,,
2021-22,CHI,73,33.1,17.6,7.5,15.8,47.3,1.4,4.5,31.4,1.3,1.7,76,1.9,9.1,11,3.2,1.9,1,1,2.5,39.6,44,0,-0.7,,,,
2020-21,TOT,70,33.5,23.4,9.5,19.9,47.7,2.5,6.3,40,1.9,2.2,84,2.1,9.6,11.7,3.8,1.8,0.9,0.7,2,46.2,48,2,-4.9,,,,
2020-21,CHI,26,32.6,21.5,8.8,18.8,47.1,2.3,5.8,38.8,1.5,1.8,87,2.3,9.3,11.5,3.9,1.7,0.9,0.8,2.2,44.5,18,1,-2.4,,,,
2020-21,ORL,44,34.1,24.5,9.9,20.6,48,2.7,6.5,40.6,2.1,2.5,82.7,2,9.8,11.8,3.8,1.9,1,0.6,1.8,47.2,30,1,-6.3,,,,
2019-20,ORL,62,32.2,19.6,8,16.7,47.7,1.6,4.7,33.9,2.1,2.7,78.4,2.3,8.6,10.9,3.6,1.4,0.9,0.8,2.2,41.5,41,0,0.8,,,,
2018-19,ORL,80,31.4,20.8,8.8,16.9,51.8,1.1,2.9,36.4,2.2,2.8,78.9,2.8,9.2,12,3.8,2,1,1.1,2,45.4,60,1,2.7,,,,
2017-18,ORL,57,29.5,16.5,7,14.7,47.5,1.1,3.6,31.4,1.4,1.6,81.9,1.8,7.4,9.2,3.4,1.9,1,1.1,2.5,36.8,29,1,-0.6,,,,
2016-17,ORL,75,28.8,14.6,6.4,13.7,46.8,0.3,1,30.7,1.4,2.1,66.9,2.3,8,10.4,2.8,1.6,1,1,2.4,35.7,38,0,-1.9,,,,
2015-16,ORL,65,31.3,18.2,8.2,16.1,51,0,0.1,22.2,1.7,2.3,75.3,2.7,6.2,8.9,2.8,1.9,0.8,1.1,2.7,36.7,29,0,-0.7,,,,
2014-15,ORL,74,34.2,19.3,8.5,16.3,52.3,0,0.1,33.3,2.2,2.9,75.2,3.2,7.7,10.9,2,2,0.7,0.7,3,37.8,45,0,-4.1,,,,
2013-14,ORL,57,31.8,14.2,6.2,12.2,50.7,0,0,0,1.8,2.4,76.6,3.2,7.7,11,1.8,2,1.1,0.8,3,33.8,36,0,-3.1,,,,
2012-13,ORL,77,33.2,13.1,6,11.5,51.9,0,0,0,1.1,1.6,68.3,3.5,8.4,11.9,1.9,1.8,0.8,1,2.8,33.8,46,0,-5,,,,
