By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,GSW,32,29.0,16.4,5.8,12.9,45.4,2.1,5.3,39.4,2.7,3.3,79.4,1.5,2.9,4.4,2.3,1.2,0.9,0.8,1.8,29.1,2,0,-0.7,Andrew Wiggins,76
2023-24,GSW,71,27.0,13.2,5.0,11.0,45.3,1.3,3.6,35.8,2.0,2.7,75.1,1.5,3.0,4.5,1.7,1.2,0.6,0.6,2.1,23.4,3,0,-0.8,Andrew Wiggins,76
2022-23,GSW,37,32.2,17.1,6.8,14.3,47.3,2.4,6.1,39.6,1.2,1.9,61.1,1.6,3.4,5.0,2.3,1.3,1.2,0.8,2.9,31.2,3,0,3.2,Andrew Wiggins,76
2021-22,GSW,73,31.9,17.2,6.5,14.0,46.6,2.2,5.5,39.3,2.0,3.2,63.4,1.2,3.3,4.5,2.2,1.5,1.0,0.7,2.2,29.6,1,0,3.6,Andrew Wiggins,76
2020-21,GSW,71,33.3,18.6,7.1,14.9,47.7,2.0,5.2,38.0,2.4,3.4,71.4,1.2,3.7,4.9,2.4,1.8,0.9,1.0,2.2,32.0,3,0,0.0,Andrew Wiggins,76
2019-20,TOT,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5.0,70.9,1.2,3.9,5.1,3.7,2.4,0.8,1.0,2.4,36.3,4,1,-3.7,Andrew Wiggins,76
2019-20,GSW,12,33.6,19.4,7.2,15.7,45.7,1.7,4.9,33.9,3.4,5.1,67.2,1.5,3.1,4.6,3.6,2.1,1.3,1.4,2.2,36.5,2,0,-6.9,Andrew Wiggins,76
2019-20,MIN,42,34.7,22.4,8.4,18.8,44.4,2.2,6.5,33.1,3.5,4.9,72.0,1.1,4.1,5.2,3.7,2.5,0.7,0.9,2.4,36.3,2,1,-2.8,Andrew Wiggins,76
2018-19,MIN,73,34.8,18.1,6.8,16.6,41.2,1.6,4.8,33.9,2.8,4.1,69.9,1.1,3.7,4.8,2.5,1.9,1.0,0.7,2.1,30.6,3,0,-0.9,Andrew Wiggins,76
2017-18,MIN,82,36.3,17.7,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,64.3,1.0,3.4,4.4,2.0,1.7,1.1,0.6,2.0,29.4,1,0,2.5,Andrew Wiggins,76
2016-17,MIN,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5.0,6.6,76.0,1.2,2.8,4.0,2.3,2.3,1.0,0.4,2.2,33.6,1,0,-0.2,Andrew Wiggins,76
2015-16,MIN,81,35.1,20.7,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,1.3,2.3,3.6,2.0,2.2,1.0,0.6,2.0,30.4,1,0,-0.8,Andrew Wiggins,76
2014-15,MIN,82,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31.0,4.3,5.7,76.0,1.6,2.9,4.6,2.1,2.2,1.0,0.6,2.3,28.3,2,0,-6.7,Andrew Wiggins,76
