By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,NYK,36,37.7,14.3,5.4,9.5,56.3,1.3,3.6,37.2,2.2,2.7,81.4,1.9,7.2,9.1,5.6,1.9,1.4,0.4,2.5,37.2,16,4,5.1,Josh Hart,96
2023-24,NYK,81,33.4,9.4,3.6,8.4,43.4,1.0,3.2,31.0,1.1,1.4,79.1,1.6,6.8,8.3,4.1,1.5,0.9,0.3,2.1,27.7,21,6,4.3,Josh Hart,96
2022-23,TOT,76,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,1.9,5.9,7.8,3.8,1.5,1.2,0.3,2.6,27.6,10,0,4.1,Josh Hart,96
2022-23,NYK,25,30.0,10.2,3.7,6.3,58.6,1.1,2.1,51.9,1.8,2.3,78.9,1.9,5.2,7.0,3.6,1.5,1.4,0.5,2.5,28.1,1,0,7.6,Josh Hart,96
2022-23,POR,51,33.4,9.5,3.6,7.1,50.4,0.7,2.2,30.4,1.7,2.3,73.1,1.9,6.3,8.2,3.9,1.5,1.1,0.2,2.6,27.4,9,0,2.4,Josh Hart,96
2021-22,TOT,54,33.2,14.9,5.3,10.5,50.4,1.4,3.9,34.3,3.0,3.9,75.8,1.1,6.0,7.2,4.1,2.1,1.1,0.2,2.8,31.8,12,0,-3.7,Josh Hart,96
2021-22,POR,13,32.1,19.9,7.1,14.1,50.3,2.4,6.4,37.3,3.4,4.4,77.2,0.7,4.7,5.4,4.3,2.5,1.2,0.2,2.5,34.5,0,0,-6.5,Josh Hart,96
2021-22,NOP,41,33.5,13.4,4.8,9.4,50.5,1.0,3.2,32.3,2.8,3.8,75.3,1.3,6.5,7.8,4.1,2.0,1.1,0.3,2.9,30.9,12,0,-2.8,Josh Hart,96
2020-21,NOP,47,28.7,9.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,1.1,6.9,8.0,2.3,1.0,0.8,0.3,2.4,24.5,7,0,0.0,Josh Hart,96
2019-20,NOP,65,27.0,10.1,3.5,8.2,42.3,1.9,5.4,34.2,1.3,1.8,73.9,0.9,5.6,6.5,1.7,1.2,1.0,0.4,2.5,23.2,10,0,-1.8,Josh Hart,96
2018-19,LAL,67,25.6,7.8,2.8,6.9,40.7,1.4,4.1,33.6,0.8,1.2,68.8,0.5,3.2,3.7,1.4,0.9,1.0,0.6,2.2,18.2,4,0,0.0,Josh Hart,96
2017-18,LAL,63,23.2,7.9,2.8,6.0,46.9,1.2,3.1,39.6,1.0,1.5,70.2,0.7,3.5,4.2,1.3,0.7,0.7,0.3,1.7,17.0,8,0,-1.1,Josh Hart,96
