By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,DET,36,28.2,16.0,5.6,13.4,41.8,3.7,9.3,39.6,1.1,1.6,70.2,0.6,2.5,3.1,1.8,1.1,0.9,0.1,1.3,24.1,1,0,0.6,Malik Beasley,83
2023-24,MIL,79,29.6,11.3,4.1,9.1,44.3,2.8,6.9,41.3,0.3,0.4,71.4,0.5,3.2,3.7,1.4,0.7,0.7,0.1,2.0,19.6,1,0,3.7,Malik Beasley,83
2022-23,TOT,81,25.8,12.7,4.6,11.6,39.5,2.9,8.1,35.7,0.6,0.8,76.9,0.4,3.1,3.5,1.5,1.1,0.8,0.1,1.3,20.8,1,0,-1.1,Malik Beasley,83
2022-23,LAL,26,23.9,11.1,4.0,10.3,39.2,2.5,7.2,35.3,0.5,0.8,61.9,0.3,3.0,3.3,1.2,1.2,0.8,0.0,1.2,18.3,0,0,-0.6,Malik Beasley,83
2022-23,UTA,55,26.8,13.4,4.8,12.2,39.6,3.1,8.6,35.9,0.7,0.8,84.1,0.5,3.1,3.6,1.7,1.1,0.8,0.1,1.4,22.0,1,0,-1.3,Malik Beasley,83
2021-22,MIN,79,25.0,12.1,4.2,10.8,39.1,3.0,8.1,37.7,0.6,0.8,81.7,0.3,2.5,2.9,1.5,0.5,0.5,0.2,1.1,19.3,0,0,1.0,Malik Beasley,83
2020-21,MIN,37,32.8,19.6,7.1,16.2,44.0,3.5,8.7,39.9,1.8,2.2,85.0,0.8,3.6,4.4,2.4,1.6,0.8,0.2,1.7,29.8,0,0,-5.3,Malik Beasley,83
2019-20,TOT,55,22.0,11.2,4.1,9.7,42.5,1.9,5.0,38.8,1.0,1.2,81.8,0.3,2.4,2.7,1.4,1.0,0.7,0.1,1.4,18.0,1,0,-0.9,Malik Beasley,83
2019-20,MIN,14,33.1,20.7,7.9,16.6,47.2,3.5,8.2,42.6,1.5,2.0,75.0,0.6,4.4,5.1,1.9,1.5,0.6,0.1,1.9,30.6,1,0,-5.5,Malik Beasley,83
2019-20,DEN,41,18.2,7.9,2.9,7.3,38.9,1.4,3.9,36.0,0.8,0.9,86.8,0.2,1.7,1.9,1.2,0.9,0.8,0.1,1.2,13.8,0,0,0.7,Malik Beasley,83
2018-19,DEN,81,23.2,11.3,4.3,9.1,47.4,2.0,5.0,40.2,0.7,0.8,84.8,0.4,2.0,2.5,1.2,0.7,0.7,0.1,1.4,17.8,0,0,1.7,Malik Beasley,83
2017-18,DEN,62,9.4,3.2,1.2,2.9,41.0,0.5,1.3,34.1,0.4,0.5,66.7,0.2,0.9,1.1,0.5,0.4,0.2,0.1,0.6,6.0,0,0,-0.4,Malik Beasley,83
2016-17,DEN,22,7.5,3.8,1.5,3.3,45.2,0.4,1.3,32.1,0.4,0.5,80.0,0.2,0.5,0.8,0.5,0.4,0.3,0.0,0.5,6.0,0,0,2.6,Malik Beasley,83
